judul,kategori,source,date
"Awali 2020, Song Joong Ki Gabung ke Agensi Baru",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/03
Aktris Captain America Ditahan atas Dugaan Bunuh Ibu Kandung,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
"Ingin Gapai Penggemar, Post Malone Jatuh dari Panggung",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
Jung Eun-Ji Tertawa Digosipkan Pacaran dengan Han Seung-woo,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
'Si Doel' Bantu Evakuasi 'Maknyak' dari Banjir,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
Pink Sumbang Rp7 Miliar untuk Kebakaran Hutan Australia,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/05
Kisah Fariz RM dan David Bowie yang 'Indonesia Banget',seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/05
Jalan Panjang Fariz RM Menemukan Kembali Iman,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/05
Fariz RM Buka-bukaan Soal Tiga Kali Terjerat Narkoba,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/05
Kala Fariz RM Minta Presiden Tak Bernyanyi,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/05
"Fariz RM, Musisi yang Dibesarkan Denting Piano Mami",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/05
Lindsay Lohan Berencana Kembali ke Film dan Musik pada 2020,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/03
Taeyang 'Bigbang' Gelar Amal Bareng WINNER hingga CL,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/03
Lady Gaga Gandeng Pria Berewok Misterius di Malam Tahun Baru,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/03
Heechul Super Junior Vakum YouTube Usai Riuh Kabar Asmara,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
"Banjir, Iwan Fals Kerahkan OI dan Fama Bantu Korban",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
"Heechul Super Junior, Lulusan Teknik Pacar Momo TWICE",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
Heechul Super Junior-Momo TWICE Resmi Berpacaran,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/02
Joaquin Phoenix Sindir Seleb Hollywood di Golden Globe 2020,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/06
"Taron Egerton, dari Agen Mata-mata Jadi 'Elton John'",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/06
Awkwafina Cetak Sejarah di Golden Globe 2020,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/06
Rekan dan Seleb Ucap Selamat Jalan untuk Ria Irawan,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/06
"Ria Irawan Meninggal, Netizen Berduka",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/06
"Ria Irawan, dari Sopir Taxi di 1973 hingga Koboy Kampus 2019",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/06
Aktris Ria Irawan Meninggal Dunia,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/06
JYP Entertainment Resmi Laporkan Penguntit Nayeon,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/08
MLD Entertainment Ungkap Alasan Hiatus Daisy MOMOLAND,seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/08
"Elton John Donasikan Rp13,9 M untuk Kebakaran Australia",seleb,cnnindonesia.com,https://www.cnnindonesia.com/seleb/indeks/59?date=2020/01/08
