judul,kategori,source,date
"Rayakan Tahun Baru 2020, Pegawai MotoGP Tewas Kena Kembang Api",sport,detik.com,"Rabu, 01 Jan 2020 21:06 WIB"
Marc Marquez Mana Sudi Biarkan Alex Menang di MotoGP,sport,detik.com,"Rabu, 01 Jan 2020 04:10 WIB"
Alex Marquez Berhasrat Raih Gelar Rookie of The Year 2020,sport,detik.com,"Kamis, 02 Jan 2020 20:39 WIB"
Bahkan Maradona dan Pele Akan Hancur Bersama Man United,sport,detik.com,"Kamis, 02 Jan 2020 17:45 WIB"
Hasil NBA: Triple Double LeBron James Antar Lakers Tundukkan Suns,sport,detik.com,"Kamis, 02 Jan 2020 14:27 WIB"
Dulu Lorenzo Direkrut Yamaha untuk Gantikan Rossi,sport,detik.com,"Kamis, 02 Jan 2020 13:12 WIB"
Detik-detik Mourinho Contek Taktik Lawan,sport,detik.com,"Kamis, 02 Jan 2020 10:47 WIB"
"Mau Pindah ke Ferrari, Hamilton?",sport,detik.com,"Kamis, 02 Jan 2020 08:48 WIB"
Gol-gol Arsenal yang Kalahkan MU,sport,detik.com,"Kamis, 02 Jan 2020 08:39 WIB"
"Andai Gagal Naturalisasi, Timnas Basket Akan Minta Ronaldo Sitepu Comeback",sport,detik.com,"Jumat, 03 Jan 2020 20:09 WIB"
Perbasi Kenalkan Logo Baru Timnas Basket Indonesia,sport,detik.com,"Jumat, 03 Jan 2020 19:15 WIB"
IBL 2020: Bima Perkasa Siapkan Kejutan untuk Louvre Surabaya,sport,detik.com,"Jumat, 03 Jan 2020 19:13 WIB"
Sharapova Belum Pikirkan Pensiun,sport,detik.com,"Jumat, 03 Jan 2020 19:01 WIB"
Pelatih Herry IP Naga Api Jadi Korban Banjir,sport,detik.com,"Jumat, 03 Jan 2020 18:12 WIB"
Adhi Pratama Lelang Jersey Timnas untuk Korban Banjir,sport,detik.com,"Jumat, 03 Jan 2020 17:13 WIB"
"Bikin Pangling, Wajah Pebalap MotoGP Satu Dekade Lalu",sport,detik.com,"Jumat, 03 Jan 2020 16:26 WIB"
"Demi Uighur, Petinju Muslim Rusia Dikabarkan Tolak Duel di China",sport,detik.com,"Jumat, 03 Jan 2020 16:08 WIB"
"Pensiun Dini, Lorenzo Sudah Puas dengan Kariernya",sport,detik.com,"Jumat, 03 Jan 2020 15:28 WIB"
Kehadiran Alex Marquez Bakal Untungkan Fabio Quartararo di MotoGP 2020,sport,detik.com,"Jumat, 03 Jan 2020 12:47 WIB"
Formula E Melesat di Tengah Banjir Jakarta,sport,detik.com,"Jumat, 03 Jan 2020 11:51 WIB"
Messi Jadi Top Skor Free Kick di Dekade ini,sport,detik.com,"Jumat, 03 Jan 2020 11:13 WIB"
"Serasa Pulang ke Rumah, Ibrahimovic Pakai Nomor 21",sport,detik.com,"Jumat, 03 Jan 2020 11:04 WIB"
"Tak Terbedung, Liverpool Buka Tahun 2020 dengan Kemenangan",sport,detik.com,"Jumat, 03 Jan 2020 09:33 WIB"
MotoGP 2020 Bakal Jadi Musim Penentuan Buat Rossi,sport,detik.com,"Jumat, 03 Jan 2020 09:30 WIB"
