judul,kategori,source,date
Benarkah Lokasi Uji Kir Ujung Menteng Bebas Pungli seperti Kata Heru Budi?,Megapolitan,kompas.com,"03/01/2023, 23:49 WIB"
"Akibat Kasus Penculikan, Orang Tua Malika Alami Trauma dan Dapatkan Pendampingan",Megapolitan,kompas.com,"03/01/2023, 23:16 WIB"
"UPDATE 3 Januari 2023: Capaian Vaksinasi Covid-19 Dosis Kedua 74,49 Persen, Ketiga 29,24 Persen",Nasional,kompas.com,"03/01/2023, 23:00 WIB"
KPU RI Tolak Dikaitkan dengan Kebakaran Mobil Anggota KPUD,Nasional,kompas.com,"03/01/2023, 22:50 WIB"
"Djarot: Lebih Baik Menteri-menteri Nasdem Mengundurkan Diri, Itu Lebih ""Gentle""",Nasional,kompas.com,"03/01/2023, 22:43 WIB"
"Bantu Atasi Banjir di Kota Semarang, Kementerian PUPR Datangkan Pompa Air Tambahan",Regional,kompas.com,"03/01/2023, 22:27 WIB"
Saksi Sebut Ada 4 KTP Berbeda dan Banyak Salinan Dokumen di Kontrakan Pelaku Mutilasi di Bekasi,Megapolitan,kompas.com,"03/01/2023, 22:25 WIB"
"Curi Motor Warga, Pelaku Ditangkap saat Sedang Mengamen di Pasar Minggu",Megapolitan,kompas.com,"03/01/2023, 22:18 WIB"
"Prabowo: Tolong, Kapal Perang yang Sudah Tak Bisa Beroperasi Masuk ""Dock""",Nasional,kompas.com,"03/01/2023, 22:01 WIB"
Lokasi Vaksin Booster di Bekasi Bulan Januari 2023,Megapolitan,kompas.com,"03/01/2023, 22:00 WIB"
Pusdokkes Polri: Malika Juga Mengaku Dipukul Penculiknya,Nasional,kompas.com,"03/01/2023, 21:57 WIB"
Polisi Sebut Malika Disuruh Jongkok di Gerobak agar Sulit Ditemukan,Megapolitan,kompas.com,"03/01/2023, 21:54 WIB"
"Ahyudin ""Founder"" ACT Minta Dibebaskan, Mengaku Punya 14 Anak Masih Kecil",Nasional,kompas.com,"03/01/2023, 21:49 WIB"
Polri Kembali Tilang Manual Sebab Kepatuhan Masyarakat Belum Meningkat,Nasional,kompas.com,"03/01/2023, 21:47 WIB"
"Bacakan Pleidoi, Kuasa Hukum: Yayasan ACT Tak Profesional Sejak Ditinggal Ahyudin",Nasional,kompas.com,"03/01/2023, 21:37 WIB"
"Puluhan Ton Garam Ditabur di Langit untuk Cegah Hujan Ekstrem, BRIN Beberkan Prosesnya",Megapolitan,kompas.com,"03/01/2023, 21:37 WIB"
"Ketum PP Muhammadiyah: Bebas Partisipasi dalam Pemilu, tapi Tak Boleh Bawa-bawa Organisasi",Nasional,kompas.com,"03/01/2023, 21:28 WIB"
"""Dissenting Opinion"", Satu Hakim Nilai Lin Che Wei Tak Bisa Disamakan dengan Pejabat Negara",Nasional,kompas.com,"04/01/2023, 23:36 WIB"
"Sedang Berjalan Kaki, 2 Orang di Penjaringan Dibakar Orang Tak Dikenal",Megapolitan,kompas.com,"04/01/2023, 23:26 WIB"
Sekda Kota Bekasi Dimutasi Jadi Staf Ahli Wali Kota Bidang Ekonomi,Megapolitan,kompas.com,"04/01/2023, 22:58 WIB"
"Marak Prostitusi Online, Satpol PP Bakal Razia Seluruh Apartemen di Bekasi",Megapolitan,kompas.com,"04/01/2023, 22:50 WIB"
"Hingga Pukul 21.00 WIB,  Satu Ruas Jalan dan 13 RT di Jakarta Masih Terendam Banjir",Megapolitan,kompas.com,"04/01/2023, 22:35 WIB"
Lansia Ditemukan Tewas di Kali Tanggul Jagung Pejagalan Jakarta Utara,Megapolitan,kompas.com,"04/01/2023, 22:24 WIB"
Polisi Dalami Penyebab Kebakaran Bekas Pabrik di Muara Baru ,Megapolitan,kompas.com,"04/01/2023, 22:16 WIB"
"Berkaca pada Kasus AKBP Bambang Kayun, Kompolnas Minta Polri Awasi Perilaku Anggota",Nasional,kompas.com,"04/01/2023, 22:14 WIB"
Kunjungan Hakim ke TKP Kasus Brigadir J Dinilai Supaya Putusan Tak Meleset,Nasional,kompas.com,"04/01/2023, 22:13 WIB"
Eny Sempat Melawan saat Dievakuasi dari Rumah Mewah yang Terbengkalai di Cakung,Megapolitan,kompas.com,"04/01/2023, 22:10 WIB"
TransJakarta Resmikan Halte Terintegrasi Pertama dengan Stasiun Kereta Jarak Jauh di Jatinegara,Megapolitan,kompas.com,"04/01/2023, 22:01 WIB"
"UPDATE 4 Januari 2023: Capaian Vaksinasi Covid-19 Dosis Kedua 74,49 Persen, Ketiga 29,25 Persen",Nasional,kompas.com,"04/01/2023, 21:50 WIB"
Kejagung Ajukan Banding atas Putusan 5 Terdakwa Korupsi Izin Ekspor CPO,Nasional,kompas.com,"04/01/2023, 21:45 WIB"
"Jimly Kritik Perppu Cipta Kerja: ""Rule by Law"" yang Kasar dan Sombong",Nasional,kompas.com,"04/01/2023, 21:44 WIB"
Terbitnya Perppu Cipta Kerja Dinilai Melanggar Prinsip Negara Hukum,Nasional,kompas.com,"04/01/2023, 21:34 WIB"
Alasan Kegentingan di Balik Perppu Cipta Kerja Dinilai Dibuat-buat,Nasional,kompas.com,"04/01/2023, 21:28 WIB"
"Penumpang Diminta Langsung Lapor Petugas jika Lihat Tindakan Asusila di KRL, Tak Perlu Diviralkan",Megapolitan,kompas.com,"04/01/2023, 21:25 WIB"
"Saat Realisasi Pendapatan DKI Jakarta Tahun Lalu Tak Capai Target, DPRD DKI: Perlu Terobosan",Megapolitan,kompas.com,"05/01/2023, 23:54 WIB"
"Pagu Indikatif 2023 Hanya Separuh Usulan, Bawaslu: Masak Pergi ke Pulau Enggak Balik Lagi?",Nasional,kompas.com,"05/01/2023, 23:25 WIB"
"Bikin Skenario Tewasnya Brigadir J, Ferdy Sambo: Emosi Kalahkan Logika Saya",Nasional,kompas.com,"05/01/2023, 23:13 WIB"
"Ada Pertandingan Indonesia Vs Vietnam Piala AFF, Warga Diimbau Hindari Kawasan GBK",Megapolitan,kompas.com,"05/01/2023, 23:08 WIB"
Komnas PA Minta Kepolisian Dalami Dugaan Pelecehan Terhadap Malika,Megapolitan,kompas.com,"05/01/2023, 23:03 WIB"
Ada Luka Goresan pada Kaki Jasad Bocah 2 Tahun yang Hilang saat Mandi Hujan,Megapolitan,kompas.com,"05/01/2023, 22:52 WIB"
"UPDATE 5 Januari 2023: Capaian Vaksinasi Covid-19 Dosis Kedua 74,50 Persen, Ketiga 29,27 Persen",Nasional,kompas.com,"05/01/2023, 22:47 WIB"
Jokowi: Teknologi dan Digitalisasi Harus Digunakan di Blok Rokan dan Blok Mahakam,Nasional,kompas.com,"05/01/2023, 22:35 WIB"
3 Polisi Gadungan yang Curi Motor di Tambora Jakbar Ditangkap,Megapolitan,kompas.com,"05/01/2023, 22:21 WIB"
Keluarga Perempuan yang Dibakar di Penjaringan Berharap Pelaku Dihukum Berat ,Megapolitan,kompas.com,"05/01/2023, 22:06 WIB"
2 Buronan Spesialis Curanmor Bersenjata di Bekasi Diringkus Polisi,Megapolitan,kompas.com,"05/01/2023, 21:53 WIB"
"Dicecar Jaksa, Bharada E Tetap Yakin Ferdy Sambo Pakai Sarung Tangan saat Tembak Yosua",Nasional,kompas.com,"05/01/2023, 21:49 WIB"
"Fakta Keseharian Pemilik Rumah Mewah di Cakung, Minta Dipanggil dengan Gelar dan Kerap Pakai Baju Kantoran",Megapolitan,kompas.com,"05/01/2023, 21:43 WIB"
"Mengelak saat Ditangkap, Ecky Pelaku Mutilasi di Bekasi Sempat Sumpah Al-Quran",Megapolitan,kompas.com,"05/01/2023, 21:35 WIB"
Mardiono Sebut Sandi Belum Sampaikan Niat Maju Capres Lewat PPP ,Nasional,kompas.com,"05/01/2023, 21:34 WIB"
"Tinjau Blok Rokan, Jokowi Yakin SDM Indonesia Mampu Kelola Migas",Nasional,kompas.com,"05/01/2023, 21:11 WIB"
"PPP Terima Kembali Romahurmuziy, Mardiono: Kita Tak Mau Membuang Aset Ini ",Nasional,kompas.com,"05/01/2023, 21:06 WIB"
"Petugas Sita Batu kali hingga Sendok saat Sidak Rutan Depok, Khawatir Dijadikan Senjata",Megapolitan,kompas.com,"06/01/2023, 23:35 WIB"
"Curhat Kusir Soal Rencana Larangan Delman di Kawasan Monas, Pendapatan Siap-Siap Berkurang",Megapolitan,kompas.com,"06/01/2023, 23:33 WIB"
"2 Pohon di Rumah Terbengkalai Belum Ditebang, Ketua RT: Tunggu Sepi Dulu, Baru Dilanjutkan",Megapolitan,kompas.com,"06/01/2023, 23:22 WIB"
"Update Kondisi Malika Usai Jadi Korban Penculikan, Tidak Ada Tanda Trauma Namun Jam Tidur Terganggu",Megapolitan,kompas.com,"06/01/2023, 23:05 WIB"
Cara ke One Satrio Naik Kereta dan Transjakarta,Megapolitan,kompas.com,"06/01/2023, 23:00 WIB"
Sejoli yang Dibakar Hidup-hidup di Penjaringan Berencana Menikah Februari 2023,Megapolitan,kompas.com,"06/01/2023, 22:59 WIB"
"Soal KUHP Baru, Formappi Kritik Tak Ada Partisipasi Publik",Nasional,kompas.com,"06/01/2023, 22:40 WIB"
