judul,kategori,date,source
"Hujan Deras, Sheila on 7 Tampil Energik di Big Bang dan Tak Ditinggalkan Penonton",Musik,"01/01/2020, 23:24 WIB",kompas.com
"Kaget Kemang Banjir, Anya Geraldine: Depan Apartemen Gue Berubah Jadi Danau",Seleb,"01/01/2020, 18:07 WIB",kompas.com
Sinyorita Esperanza Perlihatkan Kasur di Rumahnya Nyaris Tenggelam,Seleb,"01/01/2020, 17:13 WIB",kompas.com
"Kelapa Gading Dikepung Banjir, Tina Toon Tak Bisa ke Mana-mana ",Seleb,"01/01/2020, 16:26 WIB",kompas.com
Rian D’MASIV Bingung Ungsikan Keluarganya yang Terjebak Banjir,Seleb,"01/01/2020, 16:07 WIB",kompas.com
Nycta Gina Perlihatkan Potret Banjir yang Merendam Rumahnya,Seleb,"01/01/2020, 15:32 WIB",kompas.com
"Rumah Terendam Banjir, Audy Item Tak Bisa Sound Check",Seleb,"01/01/2020, 15:15 WIB",kompas.com
"Channel NET TV Tiba-tiba Hilang, Ini Penjelasannya",Hits,"01/01/2020, 14:59 WIB",kompas.com
Cerita Cinta Ginanjar dan Tiara Amalia serta Anggapan Miring Publik ,Seleb,"01/01/2020, 14:28 WIB",kompas.com
"Kebanjiran, Yuni Shara Bersepatu Boots dan Celana Jeans Pendek di Dalam Rumah",Seleb,"01/01/2020, 14:06 WIB",kompas.com
Rian D'MASIV: Kulkas dan Barang Lainnya Hanyut Terbawa Arus Banjir,Seleb,"01/01/2020, 13:50 WIB",kompas.com
Rumah Rian D'MASIV di Kemang Banjir Setinggi Pinggang Orang Dewasa,Seleb,"01/01/2020, 13:34 WIB",kompas.com
Ini Alasan Pemprov DKI Jakarta Tak Beri Izin DWP Digelar pada 2020  ,Musik,"01/01/2020, 12:58 WIB",kompas.com
Sutradara Chris Pattikawa Meninggal Dunia,Seleb,"01/01/2020, 12:38 WIB",kompas.com
"Medina Zein Jadi Tersangka, Diduga Belum Lama Gunakan Narkoba, Dijenguk Ayu Azhari",Seleb,"01/01/2020, 12:12 WIB",kompas.com
"Judika Menangis gara-gara Ainun, Ada Apa?",Seleb,"06/01/2020, 23:24 WIB",kompas.com
Kuasa Hukum Medina Zein Bungkam Ditanya Identitas Dokter Pribadi Kliennya,Seleb,"05/01/2020, 21:55 WIB",kompas.com
Ibu Medina Zein Kecewa Lukman Azhari Tak Juga Pulang Dampingi Putrinya,Seleb,"05/01/2020, 21:09 WIB",kompas.com
Nasihat Sule untuk Keempat Anaknya setelah Ibu Mereka Meninggal,Seleb,"05/01/2020, 20:35 WIB",kompas.com
"Mantan Istri Meninggal, Sule Salahkan Diri Sendiri Soal Perceraian dengan Lina",Seleb,"05/01/2020, 20:11 WIB",kompas.com
"Unggah Foto Keluarga, Rizky Febian: Aa Kangen Mama...",Seleb,"05/01/2020, 19:51 WIB",kompas.com
"Judika Nyanyikan Dance Monkey Versi Koplo, Maia Estianty Asyik Joget ",Musik,"06/01/2020, 22:55 WIB",kompas.com
Pesan Cristiano Ronaldo kepada Martunis yang Akan Menikah,Hits,"06/01/2020, 22:45 WIB",kompas.com
"Berurai Air Mata, Aming Ungkap Kesedihan Ditinggal Ria Irawan",Seleb,"06/01/2020, 22:38 WIB",kompas.com
