judul,kategori,source,date
"Untuk Ketiga Kali, India Siapkan Misi ke Bulan  ",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Ayah Berhenti Kerja Demi Membuat Kebun Binatang untuk Putrinya,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Pengantin Bongkar Perselingkuhan Pasangan di Pesta Pernikahan ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
"Hari Pertama Tahun Baru, 10 Ribu Warga Hong Kong Unjuk Rasa",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Dahsyatnya Kebakaran Hutan Australia Menyebabkan Langit Memerah,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Kementerian Luar Negeri Protes Lagi Cina Klaim Pulau Natuna,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
"Kebakaran Hutan Australia Semakin Parah, Warga Kabur ke Pantai",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
"Kedutaan Dikepung Militan, Amerika Serikat Kirim 750 Pasukan   ",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Taiwan Tak Mau Terima Rumusan Politik Satu Negara Dua Sistem ,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Rusia Berencana Kirim Astronot Pertama Indonesia ke Luar Angkasa,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Kim Jong Un Cabut Moratorium Nuklir dan Tes ICBM Korea Utara,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Angkatan Darat Amerika Serikat Larang Tentara Gunakan TikTok,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
"Kedubes AS di Irak Didemo, Trump Ancam Iran Jika Ada Korban Tewas",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
50 Titik Banjir Mengancam Perayaan Tahun Baru di Inggris,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
"Pengadilan Sudan Vonis Hukuman Mati 29 Agen Intelijen, Kenapa?",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
"Parlemen Taiwan Sahkan UU Anti-Infiltrasi, Hadang Pengaruh Cina?",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-01/dunia
Kisah Beruang Wojtek yang Ikut Bertempur Bersama Tentara Polandia,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-02/dunia
Panglima Militer Taiwan Tewas dalam Kecelakaan Helikopter,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-02/dunia
"Kebakaran Hutan Memburuk, New South Wales Umumkan Status Darurat",dunia,tempo.co,https://www.tempo.co/indeks/2020-01-02/dunia
Kepolisian Hong Kong Tangkap 400 Orang Terkait Demo Tahun Baru,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-02/dunia
Kenapa Kebakaran Hutan Australia Musim ini Semakin Buruk?,dunia,tempo.co,https://www.tempo.co/indeks/2020-01-02/dunia
