judul,kategori,source,date
"Balap Semalam Suntuk Malam Tahun Baru, Tuan Rumah Kuasai Podium",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Desember 2019 Kembaran Wuling Almaz di India Laku 3.021 Unit,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Mobil Matik Kebanjiran? Simak Langkah Menanganinya,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
"Mati Listrik Karena Banjir, Mobil Ini Bisa Jadi Genset Darurat   ",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Hyundai Kona Listrik akan Dijual Mulai 2021,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
"Mobil Terendam Banjir, Bagaimana Asuransinya?",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Video Perpisahan VW Beetle Diputar di Malam Tahun Baru,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Ini yang Perlu Dilakukan Usai Mobil Menerabas Jalanan Tergenang,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Jalanan Tergenang Diterabas atau Putar Balik? ,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Mantan Bos Nissan Carlos Ghosn Disebut Kabur Meski Dijaga Ketat,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
15 Unit Mobil Tesla Model 3 Buatan Shanghai Dikirim ke Konsumen,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
Tesla di Cina akan Tawarkan Layanan Game dan Film Lokal,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-01/otomotif
"Beli Mobil Bekas Banjir, Sebaiknya Memperhatikan Hal Ini ",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"Mewahnya Bugatti Chiron Racikan Hermes, Hanya Satu di Dunia",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
Isuzu Astra Imbau Konsumen Jangan Perbaiki Mobil Asal-Asalan,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"Nekat Terobos Banjir, Mobil Berisiko Terkena Water Hammer",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
Ini Risiko Paling Parah Jika Mobil Terseret Banjir,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"Banjir Jakarta, Begini Cara Pengemudi Ojek Online Tetap Kerja",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"Mobil BMW dan Mini Terjebak Banjir, Ada Layanan Evakuasi",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
Banjir Jakarta Diyakini Akan Akibatkan Penjualan Mobil Anjlok,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"TVS Siapkan Motor Bebek Murah, Akan Masuk Indonesia?",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
Perjuangan Warga Jambi dan Anaknya Turing Naik Nmax untuk Umroh,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
Blue Bird Akan Menambah 200 Unit Armada Taksi Listrik Tahun Ini,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"Canggih, Truk Militer India Punya Sensor Deteksi Sopir Mabuk",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"Suzuki Wagon R 2020 Dirilis Januari di Jepang, Pakai Mesin Baru",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
"Ratusan Lexus LM300h Ludes Hitungan Hari di Taiwan, Tanda Laris?",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-02/otomotif
Layanan Perbaikan Motor Honda Paska Banjir Cuma Rp 100 Ribu,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
Kendaraan Roda Tiga Polaris Slingshot Tampil Lebih Sangar,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
Begini Penanganan Motor Matik Tanpa Kick Starter Terendam Banjir,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
Ini Penyebab Bugatti Chiron James Edition Dihargai Rp 55 Miliar,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
Mobil Terlaris November 2019: Brio Satya Dekati Avanza,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
"Jeep Rubicon Bupati Karanganyar Rp 1,9 Miliar Gagal Nanjak",otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
Hal yang Bisa Sebabkan Perluasan Asuransi Banjir Ditolak,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
Libanon Terima Red Notice Penangkapan Carlos Ghosn,otomotif,tempo.co,https://www.tempo.co/indeks/2020-01-03/otomotif
